spc_latin,genus,kingdom,phylum,clazz,order,family
Quercus robur,Quercus,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae
Gleditsia triacanthos var. inermis,Gleditsia,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae
Platanus x acerifolia,Platanus,Plantae,Tracheophyta,Equisetopsida,Proteales,Platanaceae
Phellodendron amurense,Phellodendron,Plantae,Tracheophyta,Equisetopsida,Sapindales,Rutaceae
Tilia cordata,Tilia,Plantae,Tracheophyta,Equisetopsida,Malvales,Malvaceae
Prunus,Prunus,Plantae,Tracheophyta,Equisetopsida,Rosales,Rosaceae
Ulmus pumila,Ulmus,Plantae,Tracheophyta,Equisetopsida,Rosales,Ulmaceae
Acer platanoides,Acer,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae
Zelkova serrata,Zelkova,Plantae,Tracheophyta,Equisetopsida,Rosales,Ulmaceae
Fraxinus pennsylvanica,Fraxinus,Plantae,Tracheophyta,Equisetopsida,Lamiales,Oleaceae
Ulmus americana,Ulmus,Plantae,Tracheophyta,Equisetopsida,Rosales,Ulmaceae
Gymnocladus dioicus,Gymnocladus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae
Maackia amurensis,Maackia,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae
Tilia tomentosa,Tilia,Plantae,Tracheophyta,Equisetopsida,Malvales,Malvaceae
Quercus shumardii,Quercus,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae
Quercus palustris,Quercus,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae
Aesculus x carnea,Aesculus,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae
Carpinus caroliniana,Carpinus,Plantae,Tracheophyta,Equisetopsida,Fagales,Betulaceae
Acer saccharinum,Acer,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae
Ginkgo biloba,Ginkgo,Plantae,Tracheophyta,Equisetopsida,Ginkgoales,Ginkgoaceae
Pyrus calleryana,Pyrus,Plantae,Tracheophyta,Equisetopsida,Rosales,Rosaceae
Corylus colurna,Corylus,Plantae,Tracheophyta,Equisetopsida,Fagales,Betulaceae
Acer ginnala,Acer,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae
Tilia americana,Tilia,Plantae,Tracheophyta,Equisetopsida,Malvales,Malvaceae
Catalpa,Catalpa,Plantae,Tracheophyta,Equisetopsida,Lamiales,Bignoniaceae
Styphnolobium japonicum,Styphnolobium,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae
Cercidiphyllum japonicum,Cercidiphyllum,Plantae,Tracheophyta,Equisetopsida,Saxifragales,Cercidiphyllaceae
Acer,Acer,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae
Ostrya virginiana,Ostrya,Plantae,Tracheophyta,Equisetopsida,Fagales,Betulaceae
Quercus macrocarpa,Quercus,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae
Syringa reticulata,Syringa,Plantae,Tracheophyta,Equisetopsida,Lamiales,Oleaceae
Tsuga canadensis,Tsuga,Plantae,Tracheophyta,Equisetopsida,Pinales,Pinaceae
Sassafras albidum,Sassafras,Plantae,Tracheophyta,Equisetopsida,Laurales,Lauraceae
Quercus acutissima,Quercus,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae
Quercus phellos,Quercus,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae
Quercus velutina,Quercus,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae
Cercis canadensis,Cercis,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae
Liquidambar styraciflua,Liquidambar,Plantae,Tracheophyta,Equisetopsida,Saxifragales,Altingiaceae
Quercus coccinea,Quercus,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae
Prunus cerasifera,Prunus,Plantae,Tracheophyta,Equisetopsida,Rosales,Rosaceae
